archive,folder_name,size_bytes,size_mb,file_count
jillem-full-archive,alejandro jodorowsky - the holy mountain (1973; 2007) (cd) (320kb),179954937,171.62,27
jillem-full-archive,alejandro jodorowsky - the holy mountain (1973; 2007) (cd) (flac),200690195,191.39,32
jillem-full-archive,alejo duran y su conjunto - ese negro si toca (lp) (discos fuentes) (vbr0),93756575,89.41,25
jillem-full-archive,aleke kanonu - aleke (bonus tracks) (320kb),123083156,117.38,10
jillem-full-archive,alessandro alessandroni & giovanni tommaso - open air parade (lp) (flac 320kb),74415542,70.97,20
jillem-full-archive,alessandro alessandroni - afro discoteca (12 inch) (320kb),33163885,31.63,9
jillem-full-archive,alessandro alessandroni - alessandro alessandroni (aka butterfly) (1971) (digital) (320kb),82638783,78.81,17
jillem-full-archive,alessandro alessandroni - angoscia (1975; 2015) (flac 320kb),80380274,76.66,15
jillem-full-archive,"alessandro alessandroni - fischio amore mio, lp (1976) (320kb)",90520903,86.33,22
jillem-full-archive,"alessandro alessandroni - i cantori moderni, 1972 (320kb)",75508469,72.01,21
jillem-full-archive,alessandro alessandroni - industrial (2015) (320kb),80765372,77.02,19
jillem-full-archive,alessandro alessandroni - lost & found (flac 320kb),84676562,80.75,23
jillem-full-archive,alessandro alessandroni - panoramic feelings (deneb records dagored) (digital) (2013) (flac 320kb),103405775,98.62,31
jillem-full-archive,alessandro alessandroni - prisma sonoro (1974; 2019) (digital) (flac 320kb),77231556,73.65,12
